name_of_reviewer,reviewer_info,stars,when_reviewed,review_text,review_like_count,response_by,when_responded,what_response
Vikas Pathe,Local Guide · 38 reviews · 95 photos,5 stars,2 weeks ago,"One stop shopping destination for all your needs.
One of the Biggest Malls.👍🏻 …",,,,
omkar arude,Local Guide · 74 reviews · 108 photos,5 stars,2 months ago,"Review: A Great Shopping and Entertainment Experience!
""I recently visited this mall and was impressed by its vast range of shopping and dining options! The mall's layout is well-planned, making it easy to navigate and find what you're looking for.

Highlights
- Wide range of shopping options (clothing, electronics, home goods, etc.)
- Delicious dining options (restaurants, cafes, food

Review: A Great Shopping and Entertainment Experience!
""I recently visited this mall and was impressed by its vast range of shopping and dining options! The mall's layout is well-planned, making it easy to navigate and find what you're looking for.

Highlights
- Wide range of shopping options (clothing, electronics, home goods, etc.)
- Delicious dining options (restaurants, cafes, food court)
- Clean and well-maintained premises
- Friendly and helpful staff
- Entertainment options (movie theater, arcade, kids' play area)

Rating: 4.5/5 stars
I highly recommend this mall to anyone looking for a great shopping and entertainment experience. The only suggestion I have is to improve the parking facilities, as it can get quite crowded on weekends.""

Review: A Great Shopping and Entertainment Experience!
""I recently visited this mall and was impressed by its vast range of shopping and dining options! The mall's layout is well-planned, making it easy to navigate and find what you're looking for.

Highlights
- Wide range of shopping options (clothing, electronics, home goods, etc.)
- Delicious dining options (restaurants, cafes, food court)
- Clean and well-maintained premises
- Friendly and helpful staff
- Entertainment options (movie theater, arcade, kids' play area)

Rating: 4.5/5 stars
I highly recommend this mall to anyone looking for a great shopping and entertainment experience. The only suggestion I have is to improve the parking facilities, as it can get quite crowded on weekends.""

Tips for Visitors
- Plan your visit during weekdays to avoid crowds
- Take advantage of the mall's loyalty program for discounts and rewards
- Check the mall's website for upcoming events and promotions
- Don't forget to try some of the delicious food options!",,Response from the owner,2 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Vijay Verghis,"Local Guide · 391 reviews · 4,435 photos",4 stars,a year ago,One of the largest malls in pune at waked. They have spent a lot of attention to the interiors and yes it definitely looks and feels premium. They have a lot of brands here and some really good deals were on for the Christmas season. The food court has a variety of food options just like the other malls. The stand alone restaurants are only a few and I assume they are still to open. They have the time zone and fun city which are amazing entertainment options for your kids. Time zone has a 4 lane bowling track and some 3d games to play for both kids and adults. I have given them a 4 only because of the parking and bad management. Half the staff are not disciplined and with no training. It will be a mess and you will find the staff sending you in the wrong direction. Washrooms can be kept more cleaner. I believe they will eventually get it right. Good option to visit in the Pune Bangalore highway. Watch out for the traffic jams while entering and exiting the mall. I will visit again.,7,,,
Divyam Oza,Local Guide · 31 reviews · 248 photos,5 stars,2 months ago,"Very best mall ever.
All brands and all stores are amazing.
All kinds of food stores are fabulous.",,Response from the owner,2 months ago,Thank you for your feedback regarding our brands! We're delighted to hear you had a good experience overall. We appreciate your support and look forward to welcoming you back to explore more of our offerings!
P S,Local Guide · 26 reviews · 46 photos,5 stars,8 months ago,"Interior decoration feels like it was brought straight from an exhibition, very creatively accumulated, every nook and corner is instagram worthy especially the musical fountain and lit flamingoes, have all the brands ranging from budget friendly to high end. A lot of options for fine dining as well apart from the food court. There's a cafe on each floor with ample seating. One can spend a whole day there.",1,Response from the owner,8 months ago,"We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
"
Shekhar Gumaste,Local Guide · 84 reviews · 107 photos,5 stars,5 months ago,"One of the best mall in Pune having multiple brand store and options to eat available at single place .
Near from Hinjewadi as well.
Must visit",,Response from the owner,5 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Vivek Maitra,Local Guide · 190 reviews · 369 photos,5 stars,6 months ago,"Earlier also in the review I have mentioned that this is one of the best mall in Pune and PCMC area. Within 2 years of span this mall has been rated as topmost  ranked mall in Pune and PCMC area. Excellent ambiance , amazing decoration and most clean mall I have ever seen. Currently mall is decorated for Diwali festival and one must visit this mall to see beautiful decoration. Drive in for car parking is beautiful decorated with lighting arch. Thank you for the management of this mall for overall maintenance.",,Response from the owner,a year ago,"Thank you for taking the time to share your experience! We're thrilled that you had a great time at Phoenix Mall of the Millennium. Providing top-notch service and a wide range of options for our shoppers is what we aim for. Your feedback motivates us to keep delivering excellence. Looking forward to your next visit!
"
Vivaan Varkur,Local Guide · 7 reviews · 9 photos,5 stars,4 months ago,"In my opinion, it is one of the best malls in Pune District. It is like  Phoenix Marketcity, but in PCMC. Overall a very nice experience!",,Response from the owner,4 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Yash Katolkar,Local Guide · 11 reviews · 43 photos,4 stars,8 months ago,"Review for Phoenix Mall of Millennium, Wakad

Phoenix Mall of Millennium in Wakad is an amazing destination for shopping and leisure. The mall is huge with a beautifully designed interior, filled with stunning decor pieces that make for great photo spots. It's a visual treat for anyone who loves a well-done interior.

You’ll find all the major brands here, like H&M, Adidas, Arrow, Azorte, Biba, Bluestone, Casio, Croma, Crossword, and many more. It's the perfect shopping destination, offering something for everyone. The food court is equally impressive, with a wide variety of food options from popular brands to choose from.

However, there are a couple of things to keep in mind. The parking situation for 4-wheelers can be a hassle, and the mall is almost always crowded. Weekends, in particular, are super busy, with heavy traffic and lots of people. If you want a more relaxed experience, it's best to avoid weekends.

Overall, it’s a great place to visit with family and friends for a shopping day, but plan wisely to avoid the rush!",,Response from the owner,8 months ago,"Thank you for choosing Phoenix Mall of the Millennium as your shopping destination. We're thrilled to be recognized as the biggest mall in Pimpri Chinchwad and one of the top shopping malls in the Wakad area. Your support means a lot to us, and we're dedicated to maintaining our reputation as a premier shopping center."
Pankaj Pipada,"Local Guide · 368 reviews · 1,822 photos",4 stars,a month ago,"The biggest Phoenix mall has its own share of problems. The mall is huge and thought the parking is ample, getting and out is a huge challenge. On weekends it would take anywhere between 1.5 to 2.5 hours just to get in to park your vehicle and drive out from the parking lot. Better to take a cab if you want to enjoy a little more quality time with your friends or family.",,,,
Om Sarulkar,Local Guide · 83 reviews · 423 photos,5 stars,4 months ago,"The mall is quite big, bring your shoes which you are comfortable walking in. 2 wheeler parking is available outside so prefer parking over there.",,Response from the owner,4 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Akshay Lokhande,Local Guide · 47 reviews · 178 photos,5 stars,11 months ago,"Beautiful Architecture!

It’s just a replica of dubai mall in small scale model.

Lots of brand store but still missing some famous ones.

If you visit on weekend be aware there will be lot of rush and park your car outside as its too much crowded on weekends.",,Response from the owner,11 months ago,"Thank you for your wonderful review! We're delighted to hear that you enjoyed your visit to Phoenix Mall of the Millennium. Providing an exceptional shopping experience is our goal, and we're thrilled to know we achieved that. Your feedback … More"
Shubham Jagtap,Local Guide · 70 reviews · 273 photos,5 stars,2 months ago,"This mall is a great place to shop, eat, and have fun.

There are many stores with different brands, so you can find everything you need. The food court has lots of tasty options, and there are fun activities like a movie theater and game zone.

The mall is clean, spacious, and has plenty of parking. It’s a perfect place to spend time with family and friends.",,,,
Akshay Davda,"Local Guide · 331 reviews · 6,308 photos",4 stars,a year ago,"Mall is newly done up and is about 80% completed with construction work still going on in the parking area . They have ample parking space and the mall boosts of various brands ranging from low to premium. The best part about this mall is their exquisite decor which is one of kind in pune and it’s crowded during evenings and holidays so be careful when you visit as you can get stuck for hours to get in. The Christmas decor was beautiful when we visited on 25th and the mall was lit up beautifully. To avoid evening crowd we went during the day which allowed us to roam freely and take pictures. The

Christmas tree was beautifully lit up and the show was magical in the evening but it got too crowded by then.",,,,
Prayas Dhurke,Local Guide · 43 reviews · 242 photos,5 stars,a year ago,"🌟 **Phoenix Mall of the Millennium Wakad Pune Review 🌟**

As I stepped into Phoenix Mall of the Millennium in Wakad, Pune, I was engulfed in a wave of excitement and anticipation. The vibrant ambiance coupled with a plethora of shops and entertainment options instantly captivated me.

🛍️ **Shopping Heaven:**
From high-end brands to local boutiques, Phoenix Mall offers a diverse range of shopping experiences. Whether you're looking for fashion, electronics, or home decor, this mall has something for everyone. The wide corridors and spacious layout make browsing a breeze.

🍽️ **Gastronomic Delights:**
One cannot explore Phoenix Mall without indulging in its culinary offerings. The food court boasts a tantalizing array of cuisines, catering to every palate. From street food delights to gourmet delicacies, the dining options are endless. Don't miss out on the delectable desserts that will leave you craving for more!

🎬 **Entertainment Extravaganza:**
For entertainment seekers, Phoenix Mall is a paradise. Catch the latest blockbusters at the multiplex or immerse yourself in virtual reality experiences. The gaming zone is perfect for unleashing your inner child, while live events and performances add to the vibrant atmosphere.

👗 **Fashion and Beyond:**
Fashionistas will rejoice at the diverse range of clothing stores and designer boutiques. From trendy outfits to timeless classics, Phoenix Mall caters to every fashion need. The variety of options ensures that shoppers can stay ahead of the style curve.

🎉 **Conclusion:**
Phoenix Mall of the Millennium in Wakad, Pune, is more than just a shopping destination—it's an experience. With its seamless blend of shopping, dining, and entertainment, it's the perfect place to spend a day with friends and family. Whether you're a local resident or a visitor, this mall promises an unforgettable adventure!

In conclusion, Phoenix Mall truly lives up to its name as the ""Mall of the Millennium,"" offering a glimpse into the future of retail and leisure. Don't miss out on the excitement—head over to Phoenix Mall for an unforgettable journey!",2,Response from the owner,a year ago,"We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
"
Sweetie Kuwar,Local Guide · 43 reviews · 45 photos,5 stars,a year ago,"Phoenix Mall offers a delightful shopping experience. From the moment you step inside, you're greeted by a wide array of stores, catering to all tastes and budgets. The spacious layout and well-designed interiors make it easy to navigate, even during peak hours.

One of the mall's standout features is its diverse dining options. Whether you're in the mood for international cuisine, fast food, or a quick coffee break, there's something for everyone. The food court is bustling with choices, and the restaurants offer a pleasant atmosphere for a sit-down meal.

Shopping enthusiasts will appreciate the variety of brands and stores available. From high-end fashion to everyday essentials, Phoenix Mall has it all. Sales and discounts are frequent, making it a great place to snag a deal.

Entertainment options are also abundant. The multiplex cinema screens the latest releases, and the arcade and play areas are perfect for families. Parking facilities are generally ample and well-maintained.

The only drawback might be the mall's popularity, which can lead to crowds, especially on weekends. However, it's a testament to its popularity and the fantastic shopping and dining experiences it offers.",14,,,
Kedar Bhise,Local Guide · 90 reviews · 452 photos,5 stars,11 months ago,"Huge mall in the Wakad area with lots of shopping and food options!

The array of brands and shops is quite wide, giving multiple options in each area: electronics, fashion, beauty, footwear, jewellery and more.

They also have many restaurants and a good sized food court.

A large amount of parking is available. However, getting in and out of the parking takes a lot of time on busy days such as weekends.",,Response from the owner,11 months ago,"Thank you for your wonderful review! We're delighted to hear that you enjoyed your visit to Phoenix Mall of the Millennium. Providing an exceptional shopping experience is our goal, and we're thrilled to know we achieved that. Your feedback … More"
Rajendra Athalye,Local Guide · 151 reviews · 132 photos,5 stars,2 months ago,"Very nice mall. Clean and airy. Lot of new brands and excellent food options. Only lacking point is food court cleaning service. It is pathetic and though there seems lot of space, finding a cleaned table is very hard",1,Response from the owner,a month ago,"We appreciate your positive feedback about our facilities! We're dedicated to providing top-notch amenities for all our visitors. Thank you for choosing Phoenix Mall of the Millennium, and we can't wait to see you again!"
Soumya Chakraborty,"Local Guide · 371 reviews · 4,375 photos",4 stars,11 months ago,"One of the Top knotch shopping mall newly opened at Waked area - known as Phoenix Millennium mall . Lot of shop , movie hall , food courte avl here . Basement there are some Jewelry shop  ( Senco / Bhku stone etc ) . Food courte is high.  But top crowded on weekends ends . Advice to visit on weekdays .
3 Game shop avl for kids to play on chargeable basis .
One mark deducted to parking facility inadequate.
This shopping mark still expanding . Hope this system will reduct Mall Entry & exit time ( it's main pain area here ) . Bike parking on outside on the Road area .",1,Response from the owner,11 months ago,"Thank you for your wonderful review! We're delighted to hear that you enjoyed your visit to Phoenix Mall of the Millennium. Providing an exceptional shopping experience is our goal, and we're thrilled to know we achieved that. Your feedback … More"
Manish Kumar,"Local Guide · 249 reviews · 1,138 photos",5 stars,10 months ago,"Phoenix Mall in Pune offers a vibrant shopping experience with a vast array of stores, diverse dining options, and entertainment facilities.

The mall's clean and modern design, coupled with ample parking, ensures a pleasant visit. It's an excellent destination for both casual outings and serious shopping sprees.",,Response from the owner,9 months ago,"Thank you for taking the time to share your experience! We're thrilled that you had a great time at Phoenix Mall of the Millennium. Providing top-notch service and a wide range of options for our shoppers is what we aim for. Your feedback motivates us to keep delivering excellence. Looking forward to your next visit!
"
Ravikiran Dasari,"Local Guide · 354 reviews · 1,327 photos",4 stars,a year ago,"I had the chance to visiting the biggest mall in Pune recently, and I must say, it exceeded all my expectations!

The size of this mall is impressive, with a vast array of stores to cater to every taste and need. Whether you're a fashionista hunting for the latest trends, a tech enthusiast in search of gadgets, or a foodie craving diverse culinary delights, this mall has it all.

The cleanliness and organization of the mall is really good. I felt little uncomfortable while parking, parking and all other exterior work is not completely done, but all interiors are really good, literally you can stand at any corner and take a beautiful photo with nice background.",9,,,
Ishan Kurkure,Local Guide · 275 reviews · 199 photos,5 stars,5 months ago,"Good mall, good experience. Nice ambiance neat and clean well maintained. All multi brand cloths showroom available. Great food option.",,Response from the owner,5 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Abhinav Sharma,Local Guide · 35 reviews · 182 photos,5 stars,9 months ago,"It is probably the best shopping destination in this part of town. With easy connectivity from Hinjewadi, Punawale and surrounding areas, Phoenix Mall of Millennium brings all major shopping brands under a single roof. There is ample car parking and the food court is build to handle the crowd.",,Response from the owner,9 months ago,Thank you for your kind words! We're thrilled to hear you enjoyed your time at Phoenix Mall of the Millennium. Our team works hard to ensure a diverse shopping experience and delicious dining options. We look forward to welcoming you back soon!
kumar abhinav,Local Guide · 66 reviews · 62 photos,5 stars,6 months ago,"It is a good spacious mall.Here u will get almost all major brands of clothes,food,jewellery etc.Parking space is also huge.",,Response from the owner,6 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Neeket Kalamkar,Local Guide · 82 reviews · 144 photos,5 stars,a year ago,"Absolutely no doubts why the name has been given as “Mall of the Millennium” to this mall.
You will find top brands outlet for clothing to accessories and home furnishings to electronics. It has dedicated parking levels for 2 & 4Wheelers. 4levels with shops & food court & game zone being on highest level. You can enter the mall from both sides Pristine Prolife or Western Avenues side.
While entering you will see musical fountain & beautiful entrance. Your eyes will pop with its beautiful sculptures, art & theme created. Major highlights are ball room dancing girls & snow tree. You will find many places to click your memories. I suggest to visit the mall at night to enjoy musical fountains. Just loved it.",2,Response from the owner,a year ago,"We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
"
Basant Lal Sharma,"Local Guide · 136 reviews · 1,620 photos",4 stars,a year ago,"PHOENIX MALL OF MILLENNIUM is newly constructed mall located in Wakad, Pune. Its completion work is still in process. I had visited the mall with my family in December,2023. This is one of the largest mall in Pune.The modern architecture and inside design of the mall is amazing. Large space has been provided inside the mall to reduce crowding. There are cafes and restaurants on each floor but the top floor of the mall caters only food. Ample of multilevel parking is provided. Most renowned brands have their outlets in the mall. It's one-stop destination for shopping. Time zone, fun city and selfie points for the entertainment for kids and adults are attraction. Overall its wonderful place to visit with family and friends apart from shopping. I had very nice experience of the place.",2,Response from the owner,a year ago,"We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
"
Shreyas Ashtamkar,Local Guide · 54 reviews · 111 photos,5 stars,a year ago,"Amazing ambience, splendid interior, zone-wide temperature change (Changes according to vibe) and unbelievable architecture.

I've visited 17 malls yet, including New Delhi's Ambience Mall, and I'd claim this is amongst the top 3 at least.

It's got shopping malls to cafes to seating areas to the food court.

Parking is not a problem but the connecting roads are always jammed with traffic, so plan some extra time in advance.",1,,,
Aishwarya Khadse,Local Guide · 9 reviews,2 stars,2 weeks ago,The place is fine but they switch off the ac of the food court. Everyone sweats including the staff. I don’t understand how such a big mall can do this type of thing. Rest is fine. If the authorities ever read this review please take a note. It is inhumane for the visitors but please take care of the poor staff who helps you run this place.,,,,
Sunil Gupta,Local Guide · 36 reviews · 33 photos,4 stars,3 weeks ago,Very neat and clean place first of all...decoration outside the mall is also nice....all kind of food options are available...two game zones are available...,,,,
ANJALI C PAI,Local Guide · 11 reviews · 13 photos,5 stars,a year ago,"""I Just had an amazing time at Timezone in Phoenix Mall of the Millennium, Wakad! This place is perfect for a fun day out with family or friends. They've got a great mix of games, from classic arcade favorites to the latest high-tech ones. The staff there are super friendly and really add to the fun experience. The whole place has a vibrant and lively atmosphere that's just infectious. If you're looking for some entertainment and excitement, you definitely need to check out Timezone at Phoenix Mall!""",3,Response from the owner,a year ago,"Thank you for your wonderful review! We're delighted to hear that you enjoyed your visit to Phoenix Mall of the Millennium. Providing an exceptional shopping experience is our goal, and we're thrilled to know we achieved that. Your feedback … More"
Shweta Diwakar,Local Guide · 52 reviews · 93 photos,5 stars,3 months ago,"Best experience and outlet of various brands. Shopping Hub spots , timezone for kids , just love the vibe. Must visit spot.",,Response from the owner,3 months ago,"We appreciate your positive feedback about our facilities! We're dedicated to providing top-notch amenities for all our visitors. Thank you for choosing Phoenix Mall of the Millennium, and we can't wait to see you again!"
Gagan Talwar,Local Guide · 112 reviews · 453 photos,5 stars,a year ago,"One of the biggest Mall in Pune to spend weekend.

1. Good place
2. Nice Decor
3. Well managed food court
4. Public visiting don’t have any ethics , they park their vehicles on the road which leads to heavy traffic
5. Mall management should address this and work with government authorities to declare it as no parking area.
6. Timezone and Funcity is good attraction for kids to play games

The attraction of the Mall is its decor , fountains and all brands under one roof.

1 ⭐️ just for pathetic traffic",1,Response from the owner,a year ago,"We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
"
Bhabani Shankar Panda,Local Guide · 25 reviews · 289 photos,5 stars,3 weeks ago,"Great to see such exquisite interrior designs in the the mall. A must visit place for shopping,dining and entertainment. Well maintained by the authorities.",,,,
Neeleshb Bhosale,"Local Guide · 196 reviews · 1,376 photos",4 stars,a year ago,"This mall is an aesthetic delight, adorned with numerous lifelike displays, including plastic trees, charming animal sculptures, and impressive large-scale crafts that enhance the overall ambiance. Exploring the top floor, you'll find a diverse range of attractions, from enticing food options to a state-of-the-art movie theater. A unique aspect is the abundance of shops catering to women, making it a thoughtful destination for those considering a special treat for their girlfriend or wife. The area is well-maintained, creating a pleasant environment for visitors. Highly recommended for an enjoyable visit 🙂",1,,,
Ashutosh Kulkarni,"Local Guide · 628 reviews · 1,690 photos",5 stars,11 months ago,Excellent premium mall with beautiful interior and with major national and international brands play area bowling and IMAX theatre beautiful decor lots of places for selfie. 3 floors with ample escalators.,1,Response from the owner,11 months ago,"Thank you for your wonderful review! We're delighted to hear that you enjoyed your visit to Phoenix Mall of the Millennium. Providing an exceptional shopping experience is our goal, and we're thrilled to know we achieved that. Your feedback encourages us to continue delivering the best service possible. See you again soon!
"
sanjay gomadi,Local Guide · 126 reviews · 310 photos,5 stars,9 months ago,"The most beautiful mall in Pune . ✨
Usually crowded during evening and weekends... Many themes are covered in the mall...best mall for photography.
Cleanliness and Hygiene is well maintained.

Suggestion:
Maintain the food court area, need more organised and support staff there",,Response from the owner,a year ago,"Thank you for taking the time to share your experience! We're thrilled that you had a great time at Phoenix Mall of the Millennium. Providing top-notch service and a wide range of options for our shoppers is what we aim for. Your feedback motivates us to keep delivering excellence. Looking forward to your next visit!
"
Karan Oza,"Local Guide · 311 reviews · 2,094 photos",4 stars,2 months ago,"Good place to hangout…
Mostly visited for Inox, foodcourt and some shopping in Pantaloons, Max, Zara, Shoppers Stop, Lifestyle etc…
P.S. - There is too much crowd on weekends",,,,
Bhargavi N,Local Guide · 13 reviews · 33 photos,5 stars,5 months ago,A very huge and beautiful mall. Went there for christmas and the decor was vibrant.,,Response from the owner,5 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Ajay Chauhan,Local Guide · 289 reviews · 450 photos,4 stars,a year ago,"This has to be one of the best made malls with most of the major brands under one roof but it is way too crowded during the weekends. On my every visit, I had to stand in queue outside the mall for 15-30 mins at least just to enter the parking area. Recommended to visit during weekdays and off hours for a good experience",1,,,
Akhilesh Pande,Local Guide · 27 reviews · 131 photos,4 stars,a month ago,"A great-sized mall with a good collection of shops, food outlets, and theatres. Parking is spacious and well-organized - just make sure you remember where you parked! A perfect spot to shop, eat, and catch a movie, all under one roof.",,,,
Ha Ma Jo,Local Guide · 281 reviews · 501 photos,3 stars,a year ago,"Huge!
Loads of money is spent on decorations. Plenty of parking. Nightmare for nearby residents because people parking vehicles outside mall and traffic.
Parking entry and management is poor & time consuming.
Worst elevators. Mostly don't work and insufficient.
Like all the malls 90% shops are empty all the time.
All crowd is either at food court having cheap quality food or at Inox watching movies with expansive tickets.
Small events inside mall are common sightings.",2,,,
Harshit Kakkad,Local Guide · 167 reviews · 641 photos,5 stars,a year ago,"The interior of the mall is quite awesome.

This time phoenix mall has brought some international brands as well.

At each and every floor you can find some decorative pieces or structures which are very pleasant to the eyes.

The only major issue is with Parking and traffic for entering and exiting the mall.

Please consider a minimum of 30min for parking your 4 wheeler.",,,,
Aditya Nair,Local Guide · 26 reviews · 14 photos,2 stars,a month ago,"Parking is so poor, they should be paying us! The only thing that works as expected at the parking complex is the FasTAG that deducts the balance. Do not bring your 4 wheeler. Entering the mall took 45 mins on a weekend. Mall okay, seating at the food court is satisfactory.",,,,
Manas Shome,Local Guide · 18 reviews,5 stars,5 days ago,"Fantastic mall, all types of shops including branded and international ones. Huge food court with kids' play zones and game arenas. Has INOX.
Ample two-layered parking in multiple floors at fixed Rs 50 fee. Tou can directly enter the mall on corresponding floor.",,,,
Kartikey Choudhary,Local Guide · 61 reviews · 648 photos,5 stars,a year ago,"""Phoenix Mall of the Millennium""

1. The mall is incredibly spacious and boasts a wide variety of stores, catering to modern-day shopping needs, from clothing and decor to food.

2. The interior design of this newly constructed mall is nothing short of stunning. Sculptures adorn every floor, creating a fantastic ambiance that enhances the shopping experience.

3. While the mall is still in the process of opening all its shops, the fact that 60% of them are already operational is a positive sign. It's exciting to know that many more stores are set to open soon this month, promising even more shopping options.

4. The availability of valet parking at the mall is a definite plus point, making the shopping experience more convenient and hassle-free.

5. The mall appears to be a one-stop destination for shoppers, offering a diverse range of products and services. It's a place where you can find almost anything you might need.

6. The clothing brands having specific stores for women, men, and kids is a thoughtful touch, making it easier for shoppers to find what they're looking for in a more organized manner.

In summary, your review of the ""Phoenix Mall of the Millennium"" highlights its spaciousness, impressive interior design, ongoing shop openings, convenient valet parking, extensive product offerings, and specialized clothing stores, making it a promising and attractive shopping destination.",17,,,
Mukesh Dave,Local Guide · 94 reviews · 5 photos,5 stars,4 months ago,Great experience. Most of the finest brands present here. Many options for food outside the mall also.,,Response from the owner,4 months ago,Thank you for your feedback regarding our brands! We're delighted to hear you had a good experience overall. We appreciate your support and look forward to welcoming you back to explore more of our offerings!
Santosh Chindhe,Local Guide · 13 reviews · 35 photos,5 stars,6 months ago,"It literally feels like a mall abroad! Lots of premium shopping brands to choose from, monuments and mindfully created ""Instagrammable"" spots to take vibrant pics with family and friends. Dedicated play zones for kids, pram, stroller facilities provided for babies, neat and clean washrooms. You can easily spend a day.",,Response from the owner,6 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Tejas Adane,Local Guide · 4 reviews · 55 photos,5 stars,2 months ago,"Best Place to Visit Near Wakad & Punawale!

The newly opened Phoenix Mall of the Millennium is an amazing destination for shopping, dining, and entertainment. The awesome ambiance and modern design make it a great hangout spot.

The mall boasts a wide variety of brands, from premium international labels to popular Indian stores, catering to all shopping needs. The food court is another highlight, offering a diverse range of cuisines, from fast food to fine dining, ensuring there's something for everyone.

With excellent shopping options, great dining choices, and entertainment zones, this mall is a must-visit for a perfect day out!",,,,
Abhijeet Sinhe,"Local Guide · 222 reviews · 3,343 photos",4 stars,a year ago,"One more beautiful mall from phoenix. The mask was recently inaugurated, the mall has shops and food courts. The mall is compact and the parking management needs improvement currently it is taking too much time to collect parking fees for both 2 and 4 wheelers. On weekends the mall is highly crowded. The food court is very congested.",4,,,
Srini S,Local Guide · 231 reviews · 204 photos,5 stars,a year ago,"Easily biggest mall in the town.
I visited on Republic day and mall was buzzing with cheer and enthusiasm.
One can spend easily 4 to 5 hours here.
Plenty of shops from books, home interiors, clothes, food restaurant, cinema screens etc.,
Parking exits could have been bigger.
I wonder why no vehicles were checked on that day.",2,,,
Sanjay Purohit,Local Guide · 42 reviews · 20 photos,1 star,2 months ago,"Pathetic. Always conjusted. Specially parking part. They take hours to let in and out.

If you plan a movie, have 1 hr in buffer atleast.",,Response from the owner,2 months ago,"We're genuinely sorry to hear about your parking experience. Your feedback is important to us, and we appreciate you bringing it to our attention. We're actively working to enhance our parking management to ensure a smoother experience in the future."
Tarun Kesarwani,Local Guide · 89 reviews · 263 photos,5 stars,a year ago,"Phoenix Mall of the Millennium: A Modern Marvel in Pune

Nestled in the heart of Wakad, the Phoenix Mall of the Millennium stands as a testament to modern retail and entertainment. With its expansive array of stores, ranging from international brands to local boutiques, the mall offers an unparalleled shopping experience.

The architecture is a visual treat, blending contemporary design with eco-friendly features. The mall’s commitment to sustainability is commendable, with initiatives like solar panels and waste management systems in place.

For food enthusiasts, the mall is a culinary paradise. The food court boasts a variety of cuisines, ensuring that there’s something to satisfy every craving. The ambiance of the dining area is perfect for both quick bites and leisurely meals.

Entertainment is top-notch, with a state-of-the-art multiplex cinema and a vibrant gaming arcade. The mall also hosts regular cultural events, making it a hub of community activity.

Customer service is exceptional, with helpful staff and well-maintained facilities. The mall’s cleanliness and organization make every visit hassle-free.

In conclusion, the Phoenix Mall of the Millennium is not just a shopping destination; it’s a place where memories are made. Whether you’re there to shop, dine, or simply unwind, it promises an experience that’s nothing short of extraordinary.",,Response from the owner,a year ago,"Thank you for taking the time to share your experience! We're thrilled that you had a great time at Phoenix Mall of the Millennium. Providing top-notch service and a wide range of options for our shoppers is what we aim for. Your feedback motivates us to keep delivering excellence. Looking forward to your next visit!
"
Upendra Pande,Local Guide · 12 reviews · 66 photos,5 stars,a year ago,"One of the largest malls in the Pune... Name a brand and you have a store here...

It was a great mall visit for me. You will have a lot of fun even if you don't buy anything.

It's very big but easy to navigate through their digital monitor. There are plenty of activities for adults and kids.",,,,
